source	target	value	N
21	49	0	34
21	50	0	34
21	51	0	34
21	52	0	34
21	53	0	34
21	54	0	34
21	55	0	34
21	56	0	34
21	57	0	34
21	58	0	34
21	59	0	34
21	60	0	34
21	61	0	34
21	62	0	34
21	63	0	34
21	64	0	34
22	0	0	68
22	1	0	68
22	2	0	68
22	3	0	68
22	4	0	68
22	5	3	68
22	6	0	68
22	7	0	68
22	8	2	68
22	9	0	68
22	10	0	68
22	11	1	68
22	12	0	68
22	13	0	68
22	14	3	68
22	15	0	68
22	16	0	68
22	17	0	68
22	18	0	68
22	19	0	68
22	20	0	68
22	21	0	68
22	22	68	68
22	23	0	68
22	24	2	68
22	25	0	68
22	26	0	68
22	27	0	68
22	28	0	68
22	29	0	68
22	30	0	68
22	31	0	68
22	32	0	68
22	33	0	68
22	34	0	68
22	35	0	68
22	36	0	68
22	37	0	68
22	38	0	68
22	39	0	68
22	40	0	68
22	41	0	68
22	42	0	68
22	43	0	68
22	44	0	68
22	45	0	68
22	46	0	68
22	47	0	68
22	48	0	68
22	49	0	68
22	50	0	68
22	51	0	68
22	52	0	68
22	53	0	68
22	54	0	68
22	55	0	68
22	56	0	68
22	57	0	68
22	58	0	68
22	59	0	68
22	60	0	68
22	61	2	68
22	62	0	68
22	63	0	68
22	64	0	68
23	0	0	40
23	1	0	40
23	2	0	40
23	3	0	40
23	4	0	40
23	5	0	40
23	6	0	40
23	7	0	40
23	8	0	40
23	9	0	40
23	10	0	40
23	11	0	40
23	12	1	40
23	13	0	40
23	14	0	40
23	15	0	40
23	16	0	40
23	17	0	40
23	18	1	40
23	19	0	40
23	20	0	40
23	21	3	40
23	22	0	40
23	23	40	40
23	24	2	40
23	25	0	40
23	26	0	40
23	27	0	40
23	28	0	40
23	29	0	40
23	30	0	40
23	31	0	40
23	32	0	40
23	33	0	40
23	34	0	40
23	35	0	40
23	36	0	40
23	37	0	40
23	38	0	40
23	39	0	40
23	40	0	40
23	41	0	40
23	42	0	40
23	43	0	40
23	44	0	40
23	45	0	40
23	46	0	40
23	47	0	40
23	48	0	40
23	49	0	40
23	50	0	40
23	51	0	40
23	52	0	40
23	53	0	40
23	54	0	40
23	55	0	40
23	56	0	40
23	57	0	40
23	58	0	40
23	59	0	40
23	60	0	40
23	61	0	40
23	62	0	40
23	63	0	40
23	64	0	40
24	0	0	235
24	1	0	235
24	2	1	235
24	3	1	235
24	4	0	235
24	5	4	235
24	6	0	235
24	7	0	235
24	8	2	235
24	9	0	235
24	10	0	235
24	11	2	235
24	12	48	235
24	13	2	235
24	14	2	235
24	15	0	235
24	16	0	235
24	17	0	235
24	18	5	235
24	19	0	235
24	20	0	235
24	21	0	235
24	22	2	235
24	23	2	235
24	24	235	235
24	25	1	235
24	26	1	235
24	27	0	235
24	28	0	235
24	29	0	235
24	30	0	235
24	31	0	235
24	32	0	235
24	33	0	235
24	34	0	235
24	35	0	235
24	36	0	235
24	37	0	235
24	38	0	235
24	39	0	235
24	40	0	235
24	41	0	235
24	42	1	235
24	43	1	235
24	44	1	235
24	45	1	235
24	46	1	235
24	47	1	235
24	48	1	235
24	49	1	235
24	50	1	235
24	51	0	235
24	52	0	235
24	53	0	235
24	54	0	235
